psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:6: NOTICE:  table "main_table" does not exist, skipping
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:109: NOTICE:  table "service_item_mapping" does not exist, skipping
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:123: NOTICE:  schema "fc" already exists, skipping
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:124: NOTICE:  table "pharmacy_item_mapping" does not exist, skipping
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:138: NOTICE:  schema "fc" already exists, skipping
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:139: NOTICE:  table "pharmacy_catalog_rate_reference" does not exist, skipping
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:166: NOTICE:  schema "fc" already exists, skipping
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:167: NOTICE:  table "service_tariff_rate_matrix" does not exist, skipping
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:200: NOTICE:  schema "fc" already exists, skipping
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:201: NOTICE:  table "consultation_tariff_rate_matrix" does not exist, skipping
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:226: NOTICE:  schema "fc" already exists, skipping
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:227: NOTICE:  table "organization_tariff_mapping" does not exist, skipping
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:14445: ERROR:  invalid input syntax for type json
DETAIL:  Token "'" is invalid.
CONTEXT:  JSON data, line 1: {'...
COPY main_table, line 1, column pharmacy_json: "{'items': [{'amount': 268.09, 'bill_no': 'SPIB2425108245', 'quantity': 1, 'item_code': 'BIOV02', 'it..."
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:14447: ERROR:  current transaction is aborted, commands ignored until end of transaction block
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:14448: ERROR:  current transaction is aborted, commands ignored until end of transaction block
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:14787: error: invalid command \
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:14795: error: invalid command \
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:14853: error: invalid command \
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:14923: error: invalid command \
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:15003: error: invalid command \
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:15028: error: invalid command \
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:15046: error: invalid command \
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:16088: error: invalid command \.
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:16090: ERROR:  syntax error at or near "ANS0001"
LINE 1: ANS0001 ANS0001 ANAESTHETIST FEE (MAJOR PROCEDURES) Professi...
        ^
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:16091: ERROR:  current transaction is aborted, commands ignored until end of transaction block
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:27233: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:27691: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:27692: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:27693: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:27694: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29137: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29147: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29148: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29151: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29153: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29154: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29156: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29157: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29158: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29159: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29160: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29161: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29162: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29163: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29164: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29165: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29167: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29169: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29171: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29172: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29173: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29174: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29175: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29176: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29177: error: invalid command \N
psql:developer_handoff_fc_estimate_builder/database/fc_handover_phase1_clean.sql:29178: error: invalid command \N
