tariff_code,tariff_name,package_code,primary_package_name,package_names,payor_buckets,organization_names,case_count_total,distinct_amount_count_total,min_amount_total,max_amount_total,all_observed_amounts,daycare_case_count,daycare_distinct_amount_count,daycare_min_amount,daycare_max_amount,daycare_observed_amounts,general_case_count,general_distinct_amount_count,general_min_amount,general_max_amount,general_observed_amounts,twin_case_count,twin_distinct_amount_count,twin_min_amount,twin_max_amount,twin_observed_amounts,single_case_count,single_distinct_amount_count,single_min_amount,single_max_amount,single_observed_amounts,deluxe_case_count,deluxe_distinct_amount_count,deluxe_min_amount,deluxe_max_amount,deluxe_observed_amounts,unknown_case_count,unknown_distinct_amount_count,unknown_min_amount,unknown_max_amount,unknown_observed_amounts
TR1,KIMS,CAR0122,CORONARY ANGIOGRAM (CAG),CORONARY ANGIOGRAM (CAG) | CORONARY ANGIOGRAM (CAG) - CAT - 1 | CORONARY ANGIOGRAM (CAG) - CAT-1,Cash | Non-GIPSA Insurance,General Patients | MAGMA GENERAL INSURANCE LTD. | ZURICH KOTAK GENERAL INSURANCE CO. (I) LTD.,157,4,18000,38020,18000.00 | 34900.00 | 38000.00 | 38020.00,0,0,,,,2,1,18000,18000,18000,12,2,18000,38000,18000.00 | 38000.00,12,2,18000,38000,18000.00 | 38000.00,0,0,,,,131,4,18000,38020,18000.00 | 34900.00 | 38000.00 | 38020.00
TR1,KIMS,CAR0126,PPI (PERMANENT PACEMAKER IMPLANTATION) - SINGLE CHAMBER,PPI (PERMANENT PACEMAKER IMPLANTATION) - SINGLE CHAMBER,Cash,General Patients,2,2,170000,195000,170000.00 | 195000.00,0,0,,,,0,0,,,,0,0,,,,1,1,195000,195000,195000,0,0,,,,1,1,170000,170000,170000
TR1,KIMS,CAR0127,PPI - DUAL CHAMBER,PPI - DUAL CHAMBER | PPI (PERMANENT PACEMAKER IMPLANTATION) - DUAL CHAMBER,Cash,General Patients,8,3,170000,210000,170000.00 | 190000.00 | 210000.00,0,0,,,,1,1,170000,170000,170000,5,2,170000,190000,170000.00 | 190000.00,2,2,190000,210000,190000.00 | 210000.00,0,0,,,,0,0,,,
TR1,KIMS,CAR0128,ICD SINGLE CHAMBER,ICD SINGLE CHAMBER,Cash,General Patients,1,1,150000,150000,150000,0,0,,,,0,0,,,,1,1,150000,150000,150000,0,0,,,,0,0,,,,0,0,,,
TR1,KIMS,CAR0134,RF ABLATION + EP STUDY CAT-I,RF ABLATION + EP STUDY CAT-I,Cash,General Patients,1,1,120000,120000,120000,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,1,1,120000,120000,120000
TR1,KIMS,CAR5034,TAVI (TRANSCATHETER AORTIC VALVE IMPLANTATION),TAVI (TRANSCATHETER AORTIC VALVE IMPLANTATION),Cash,General Patients,2,1,150000,150000,150000,0,0,,,,0,0,,,,0,0,,,,2,1,150000,150000,150000,0,0,,,,0,0,,,
TR1,KIMS,CAR5087,PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) - 2 VESSEL,PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) - 2 VESSEL | PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) WITH TWO VESSELS,Cash | Corporate | Non-GIPSA Insurance,GENERAL | General Patients | UNIVERSAL SOMPO GENERAL INSURANCE CO. LTD.,35,5,175000,325000,175000.00 | 200000.00 | 225000.00 | 308400.00 | 325000.00,0,0,,,,0,0,,,,22,2,175000,200000,175000.00 | 200000.00,11,4,200000,325000,200000.00 | 225000.00 | 308400.00 | 325000.00,0,0,,,,2,1,200000,200000,200000
TR1,KIMS,CAR5149,PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) THREE VESSELS,PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) THREE VESSELS,Cash,General Patients,2,1,225000,225000,225000,0,0,,,,0,0,,,,2,1,225000,225000,225000,0,0,,,,0,0,,,,0,0,,,
TR1,KIMS,CAR5153,CORONARY ANGIOGRAM (CAG) - CAT - 3,CORONARY ANGIOGRAM (CAG) - CAT - 3 | CORONARY ANGIOGRAM (CAG) - CAT-3,Cash,General Patients,17,1,22000,22000,22000,0,0,,,,0,0,,,,2,1,22000,22000,22000,3,1,22000,22000,22000,1,1,22000,22000,22000,11,1,22000,22000,22000
TR1,KIMS,CAR5154,PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLAS,PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLAS | PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) | PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) - 1 VESSEL,Cash | Non-GIPSA Insurance,General Patients | MAGMA GENERAL INSURANCE LTD. | ROYAL SUNDARAM GENERAL INSURANCE CO. LTD. | ZURICH KOTAK GENERAL INSURANCE CO. (I) LTD.,189,9,150000,280400,150000.00 | 175000.00 | 191000.00 | 200000.00 | 227900.00 | 228827.00 | 250000.00 | 252300.00 | 280400.00,0,0,,,,8,3,150000,227900,150000.00 | 191000.00 | 227900.00,105,4,150000,252300,150000.00 | 175000.00 | 200000.00 | 252300.00,64,5,150000,280400,150000.00 | 175000.00 | 200000.00 | 228827.00 | 280400.00,1,1,250000,250000,250000,11,3,150000,200000,150000.00 | 175000.00 | 200000.00
TR1,KIMS,CAR5158,CORONARY ANGIOGRAM (CAG) - CAT - 2,CORONARY ANGIOGRAM (CAG) - CAT - 2 | CORONARY ANGIOGRAM (CAG) - CAT-2,Cash,General Patients,34,1,20000,20000,20000,0,0,,,,0,0,,,,5,1,20000,20000,20000,4,1,20000,20000,20000,0,0,,,,25,1,20000,20000,20000
TR1,KIMS,CAR5332,RF ABLATION AND EP STUDY - CAT - IV,RF ABLATION AND EP STUDY - CAT - IV,Cash,General Patients,1,1,216000,216000,216000,0,0,,,,0,0,,,,0,0,,,,1,1,216000,216000,216000,0,0,,,,0,0,,,
TR1,KIMS,CAT0458,CORONARY ANGIOGRAM (CAG) AND GRAFT ANGIOGRAM,CORONARY ANGIOGRAM (CAG) AND GRAFT ANGIOGRAM,Cash,General Patients,2,2,20000,22500,20000.00 | 22500.00,0,0,,,,0,0,,,,1,1,22500,22500,22500,0,0,,,,0,0,,,,1,1,20000,20000,20000
TR1,KIMS,CAT5017,CAG + RENAL ANGIO,CAG + RENAL ANGIO | CORONARY ANGIOGRAM (CAG) AND RENAL ANGIOGRAM,Cash,General Patients,36,3,20000,25000,20000.00 | 22500.00 | 25000.00,0,0,,,,0,0,,,,7,2,22500,25000,22500.00 | 25000.00,8,2,22500,25000,22500.00 | 25000.00,0,0,,,,21,3,20000,25000,20000.00 | 22500.00 | 25000.00
TR1,KIMS,CTH0059,CABG,CABG | CABG (CORONARY ARTERY BYPASS GRAFTING) - OFF PUMP,Cash | Non-GIPSA Insurance,General Patients | ROYAL SUNDARAM GENERAL INSURANCE CO. LTD.,16,3,325000,400000,325000.00 | 385500.00 | 400000.00,0,0,,,,0,0,,,,4,2,325000,400000,325000.00 | 400000.00,11,3,325000,400000,325000.00 | 385500.00 | 400000.00,1,1,325000,325000,325000,0,0,,,
TR1,KIMS,CTH0060,MITRAL VALVE (MVR) REPLACEMENT / REPAIR,MITRAL VALVE (MVR) REPLACEMENT / REPAIR,Cash,General Patients,2,2,275000,325000,275000.00 | 325000.00,0,0,,,,0,0,,,,2,2,275000,325000,275000.00 | 325000.00,0,0,,,,0,0,,,,0,0,,,
TR1,KIMS,CTH0067,PDA (PATENT DUCTUS ARTERIOSUS) SURGICAL CLOSURE,PDA (PATENT DUCTUS ARTERIOSUS) SURGICAL CLOSURE,Cash,General Patients,1,1,175000,175000,175000,0,0,,,,0,0,,,,1,1,175000,175000,175000,0,0,,,,0,0,,,,0,0,,,
TR1,KIMS,CTH0075,CABG AND MVR,CABG AND MVR,Cash,General Patients,2,1,360000,360000,360000,0,0,,,,0,0,,,,1,1,360000,360000,360000,1,1,360000,360000,360000,0,0,,,,0,0,,,
TR1,KIMS,CTH0076,CABG AND AVR,CABG AND AVR,Cash,General Patients,1,1,450000,450000,450000,0,0,,,,0,0,,,,0,0,,,,1,1,450000,450000,450000,0,0,,,,0,0,,,
TR1,KIMS,CTH0106,AORTIC VALVE (AVR) REPLACEMENT / REPAIR,AORTIC VALVE (AVR) REPLACEMENT / REPAIR,Cash,General Patients,3,2,325000,400000,325000.00 | 400000.00,0,0,,,,0,0,,,,1,1,325000,325000,325000,2,2,325000,400000,325000.00 | 400000.00,0,0,,,,0,0,,,
TR1,KIMS,CTH0109,HEART TUMOUR - LA/LV (MYXOMA),HEART TUMOUR - LA/LV (MYXOMA),Cash,General Patients,1,1,300000,300000,300000,0,0,,,,0,0,,,,1,1,300000,300000,300000,0,0,,,,0,0,,,,0,0,,,
